Nest type,Nest,Date,Group size,No. arrivals,Total Brood,Brood_per_active_day,Foraging.Time.Total,Prop_time_off_nest,Average_Forage,Total_Available,Av_w_size,Q_size,Relative_Diff
QR,199,20/06/2018,2,18,4,0.363636364,765.3333333,0.722285139,382.6666666,529.8,NA,NA,NA
QR,213,15/06/2018,6,71,16,1.6,2490.233333,0.740083611,415.038889,560.8,1.828,2.266,0.806707855
QR,213,20/06/2018,4,36,16,1.6,1367.133333,0.645117654,341.7833331,529.8,1.828,2.266,0.806707855
QR,217,20/06/2018,3,24,14,1.076923077,1004.616667,0.617503637,334.8722223,542.3,1.7625,2.224,0.792491007
QR,231,13/06/2018,5,43,17,0.944444444,1730.883333,0.635867136,346.1766666,544.4166667,1.924,2.116,0.90926276
QR,231,19/06/2018,3,30,17,0.944444444,1151.766667,0.700907754,383.9222223,547.75,1.924,2.116,0.90926276
QR,237,15/06/2018,2,20,9,0.6,776.5166667,0.709320382,388.2583331,547.3666667,1.891,2.206,0.857207616
QR,237,20/06/2018,2,25,9,0.6,731.3833333,0.450137453,243.7944445,541.6,1.891,2.206,0.857207616
QR,311,18/06/2018,8,78,36,2,3396.9,0.786950948,424.6124998,539.5666667,1.889,2.263,0.834732656
QR,311,22/06/2018,2,46,36,2,879.8333333,0.804235222,439.9166664,547,1.889,2.263,0.834732656
QR,312,15/06/2018,4,34,18,1.058823529,1079.383333,0.499313822,269.8458332,540.4333333,1.801,2.318,0.776962899
QR,312,20/06/2018,4,21,18,1.058823529,1227.433333,0.55329667,304.0088553,549.45,1.801,2.318,0.776962899
QR,315,15/06/2018,4,40,15,1.363636364,1159.816667,0.521125389,289.9541664,556.4,1.977,2.23,0.886547085
QR,324,09/06/2018,3,36,13,1.181818182,1012.9,0.625903726,337.6333333,539.4333333,1.74,2.091,0.832137733
QR,334,19/06/2018,2,22,10,0.555555556,797.65,0.726324895,398.8249998,549.1,1.845,2.271,0.812417437
QR,334,22/06/2018,1,11,10,0.555555556,401.3833333,0.725828813,401.3833336,553,1.845,2.271,0.812417437
QR,381,18/06/2018,2,10,13,0.866666667,853.05,0.78001463,426.5249999,546.8166667,1.924,2.274,0.846086192
QR,421,09/06/2018,2,17,6,0.666666667,432.6666667,0.402630436,216.3333333,537.3,1.855,2.228,0.832585278
QR,421,13/06/2018,2,20,6,0.666666667,668.0166667,0.627127926,334.0083334,532.6,1.855,2.228,0.832585278
QR,487,18/06/2018,3,9,12,0.857142857,805.0833333,0.493084265,268.3611112,544.25,1.902,2.205,0.862585034
QR,487,22/06/2018,1,11,12,0.857142857,504.3166667,0.920145963,504.3166666,548.0833333,1.902,2.205,0.862585034
QR,536,15/06/2018,5,23,7,0.4375,1435.916667,0.530315154,287.1833331,541.5333333,1.9065,2.311,0.824967547
